"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4387909853","linkedin","https://www.linkedin.com/jobs/view/4387909853","","Build and Automation Engineer","NVIDIA","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/nvidia","","","","","","","","","","","",""
"li-4388319226","linkedin","https://www.linkedin.com/jobs/view/4388319226","","Software Engineer II - Performance Testing","American Express","Bengaluru South, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/american-express","","","","","","","","","","","",""
"li-4388343031","linkedin","https://www.linkedin.com/jobs/view/4388343031","","Senior, Software Engineer","Walmart Global Tech India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/walmartglobaltechindia","","","","","","","","","","","",""
"li-4387799183","linkedin","https://www.linkedin.com/jobs/view/4387799183","","Workday Test Lead","People Prime Worldwide","Bangalore Urban, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/peopleprimeww","","","","","","","","","","","",""
"li-4387782107","linkedin","https://www.linkedin.com/jobs/view/4387782107","","Computer Vision","Infosys","Bengaluru East, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/infosys","","","","","","","","","","","",""
"li-4388197331","linkedin","https://www.linkedin.com/jobs/view/4388197331","","Senior Software Engineer","Wells Fargo","Bengaluru South, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/wellsfargo","","","","","","","","","","","",""
"li-4388314391","linkedin","https://www.linkedin.com/jobs/view/4388314391","","Hiring for Large Language Models (LLMs) Engineer !! Pan India","Covetus","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/covetus","","","","","","","","","","","",""
"li-4387780793","linkedin","https://www.linkedin.com/jobs/view/4387780793","","Salesforce QA","People Prime Worldwide","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/peopleprimeww","","","","","","","","","","","",""
"li-4387907011","linkedin","https://www.linkedin.com/jobs/view/4387907011","","kafka Engineer","People Prime Worldwide","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/peopleprimeww","","","","","","","","","","","",""
"li-4387901850","linkedin","https://www.linkedin.com/jobs/view/4387901850","","Founding Engineer - Backend","Aurora AI","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/auroraxai","","","","","","","","","","","",""
"li-4387909900","linkedin","https://www.linkedin.com/jobs/view/4387909900","","Audio Development Engineers - Linux","PR GLOLINKS","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/pr-glolinks","","","","","","","","","","","",""
"li-4366626564","linkedin","https://www.linkedin.com/jobs/view/4366626564","","Senior Software Engineer (Full Stack) (AI) (Onsite, Hebbal) (Open)","Netsmart","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/netsmart","","","","","","","","","","","",""
"li-4387789658","linkedin","https://www.linkedin.com/jobs/view/4387789658","","Workday Test Lead (Workday payroll)","People Prime Worldwide","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/peopleprimeww","","","","","","","","","","","",""
"li-4388309362","linkedin","https://www.linkedin.com/jobs/view/4388309362","","Custom Software Engineer","Accenture in India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/accentureindia","","","","","","","","","","","",""
"li-4388191288","linkedin","https://www.linkedin.com/jobs/view/4388191288","","Senior System Software Engineer, Automotive Performance","NVIDIA","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/nvidia","","","","","","","","","","","",""
"li-4380797454","linkedin","https://www.linkedin.com/jobs/view/4380797454","","Principal Cloud test – Network & Security","Aviatrix","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/aviatrix-systems","","","","","","","","","","","",""
"li-4388330133","linkedin","https://www.linkedin.com/jobs/view/4388330133","","MTS - VIFA","Pure Storage","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/purestorage","","","","","","","","","","","",""
"li-4387927165","linkedin","https://www.linkedin.com/jobs/view/4387927165","","Software Principal Engineer - Platform Engineering","Dell Technologies","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/delltechnologies","","","","","","","","","","","",""
